id,nome,artistas,album,release_date,duracao_ms,popularity,explicit,url
4a4UrMYz1oLrdF1CzLcsGZ,Ascend,TheDooo,Ascend,2016-12-31,180035,42,False,https://open.spotify.com/track/4a4UrMYz1oLrdF1CzLcsGZ
1C9pVQCOeaRtGKgpGZeCMH,Closure,ZeRO,Closure,2023-12-29,325222,36,False,https://open.spotify.com/track/1C9pVQCOeaRtGKgpGZeCMH
4vpxG3E6LdXfskPmgB1Jvv,Spread Your Fire,ANGRA,Temple Of Shadows,2004-09-06,265373,41,False,https://open.spotify.com/track/4vpxG3E6LdXfskPmgB1Jvv
40ErEtkETfTCPN6LEk7AIU,Angels and Demons,ANGRA,Temple Of Shadows,2004-09-06,250933,36,False,https://open.spotify.com/track/40ErEtkETfTCPN6LEk7AIU
7mcfhVGJubjRnhpVI2N3yE,Waiting Silence,ANGRA,Temple Of Shadows,2004-09-06,295173,37,False,https://open.spotify.com/track/7mcfhVGJubjRnhpVI2N3yE
0wFziCCVtiJkonPL5KlRkD,No Pain for the Dead,ANGRA,Temple Of Shadows,2004-09-06,305360,31,False,https://open.spotify.com/track/0wFziCCVtiJkonPL5KlRkD
7ASFNvLc5HLrxWXk0Mf47V,Winds of Destination,ANGRA,Temple Of Shadows,2004-09-06,416346,30,False,https://open.spotify.com/track/7ASFNvLc5HLrxWXk0Mf47V
1KicYDj03VvVa8KqfxE1f5,Sprouts of Time,ANGRA,Temple Of Shadows,2004-09-06,309253,28,False,https://open.spotify.com/track/1KicYDj03VvVa8KqfxE1f5
0gjTMdOgwPcTvDpcCMjK5o,Late Redemption,ANGRA,Temple Of Shadows,2004-09-06,295346,33,False,https://open.spotify.com/track/0gjTMdOgwPcTvDpcCMjK5o
12Y45dPRmKRynhbAk7CMbm,Colorful,Kryour,Creatures Dwell My Room,2023-09-29,248000,5,False,https://open.spotify.com/track/12Y45dPRmKRynhbAk7CMbm
1NrEwzbHDeH36Qd5i2tVil,Destructive Hope,Kryour,Creatures Dwell My Room,2023-09-29,239683,10,False,https://open.spotify.com/track/1NrEwzbHDeH36Qd5i2tVil
6foBwO6IlqrbyDS7GMD1gz,Why Should I Know?,Kryour,Creatures Dwell My Room,2023-09-29,293963,5,False,https://open.spotify.com/track/6foBwO6IlqrbyDS7GMD1gz
4MrtUEbPQEnVGYhNIKJWPm,Chrysalism,Kryour,Creatures Dwell My Room,2023-09-29,208571,4,False,https://open.spotify.com/track/4MrtUEbPQEnVGYhNIKJWPm
0y5unxPEvpulXKPgw4StQW,Rédeas,Project46,Tr3s,2017-11-10,224855,28,False,https://open.spotify.com/track/0y5unxPEvpulXKPgw4StQW
7s35jIKRKE9BdHB9oTtA0m,Ivxx,Inversa,Mente,2015-09-20,79615,8,False,https://open.spotify.com/track/7s35jIKRKE9BdHB9oTtA0m
0QZVbcDQ8Ogx3aA7gifdXM,Wildfire,Periphery,Periphery V: Djent Is Not A Genre,2023-03-10,425653,37,False,https://open.spotify.com/track/0QZVbcDQ8Ogx3aA7gifdXM
2EItAzaGz504sxrTILsKGQ,Ruining My Mind,Melancholic Wine,Ruining My Mind,2023-11-28,221563,0,False,https://open.spotify.com/track/2EItAzaGz504sxrTILsKGQ
1SvdMHIKYbUm8OaWfLKqTH,Prantos,Melancholic Wine,Melancholic Wine,2023-11-01,243221,1,False,https://open.spotify.com/track/1SvdMHIKYbUm8OaWfLKqTH
3zo4t8a1bMgZMkpb0RQM9L,As a Ghost Inside of Me,Melancholic Wine,As a Ghost Inside of Me,2023-07-22,315972,0,False,https://open.spotify.com/track/3zo4t8a1bMgZMkpb0RQM9L
2Jq8RmSZadPmAVNVbqicuL,O Circo De Uma Tragédia,Melancholic Wine,O Circo De Uma Tragédia,2023-08-30,287193,0,False,https://open.spotify.com/track/2Jq8RmSZadPmAVNVbqicuL
4uWgwgMQGHeYD9rDXReaOB,Cacos,Melancholic Wine,Melancholic Wine,2023-11-01,259726,0,False,https://open.spotify.com/track/4uWgwgMQGHeYD9rDXReaOB
2HEM4wcGP2nFT1Z2i6jtvo,BxMxC,BABYMETAL,BxMxC,2020-10-09,183025,51,False,https://open.spotify.com/track/2HEM4wcGP2nFT1Z2i6jtvo
5ieDiSzEdwmNW9qrz8UVqm,MAYA,BABYMETAL,THE OTHER ONE,2023-03-24,203388,42,False,https://open.spotify.com/track/5ieDiSzEdwmNW9qrz8UVqm
3oKd79SzqVkiel75QUZxAy,Scarlet,Periphery,Periphery II,2012-06-29,248800,0,False,https://open.spotify.com/track/3oKd79SzqVkiel75QUZxAy
1RHGaGciJLV3KLwnpR7cqB,Zagreus,Periphery,Periphery V: Djent Is Not A Genre,2023-03-10,499386,30,False,https://open.spotify.com/track/1RHGaGciJLV3KLwnpR7cqB
23UabgkOE0AMUZ6Z8ZFAgN,Its Only Smiles,Periphery,Periphery IV: HAIL STAN,2019-04-05,333000,41,False,https://open.spotify.com/track/23UabgkOE0AMUZ6Z8ZFAgN
