id;nome;artistas;album;release_date;duracao_ms;popularity;explicit;url;stem_path;BPM;Root_key
577MNC3o3L0lNIzx9abqOk;Thank You For Loving Me;Bon Jovi;Crush;2000-01-01;308933;64;False;https://open.spotify.com/track/577MNC3o3L0lNIzx9abqOk;guitar_stems/Bon_Jovi_-_Thank_You_For_Loving_Me_(Official_Music_Video).wav;66.0;D major
57iDDD9N9tTWe75x6qhStw;Bitter Sweet Symphony - Remastered 2016;The Verve;Urban Hymns (Remastered 2016);1997-09-29;357266;82;False;https://open.spotify.com/track/57iDDD9N9tTWe75x6qhStw;;;
3PYdxIDuBIuJSDGwfptFx4;My Immortal - Band Version;Evanescence;Fallen;2003-03-04;273360;59;False;https://open.spotify.com/track/3PYdxIDuBIuJSDGwfptFx4;;;
2nvC4i2aMo4CzRjRflysah;In My Place;Coldplay;A Rush of Blood to the Head;2002-08-27;226680;74;False;https://open.spotify.com/track/2nvC4i2aMo4CzRjRflysah;guitar_stems/Coldplay_-_In_My_Place_(Official_4K_Video).wav;73.0;A major
5kcsc92tGAjS0uvhDY3Mok;Ode To My Family;The Cranberries;No Need To Argue (The Complete Sessions 1994-1995);1994-10-03;271533;73;False;https://open.spotify.com/track/5kcsc92tGAjS0uvhDY3Mok;guitar_stems/The_Cranberries_-_Ode_To_My_Family_(Official_Music_Video).wav;95.0;D major
23zzKOubAzAu8xlQdkVvZ2;Janie's Got A Gun;Aerosmith;Big Ones;1994-01-01;329626;45;False;https://open.spotify.com/track/23zzKOubAzAu8xlQdkVvZ2;guitar_stems/Aerosmith_-_Janie's_Got_A_Gun.wav;58.0;F major
3y9zMGuxWS8xkpOxNPfiMZ;Miss You Love;Silverchair;Neon Ballroom;1999-03-08;240733;43;False;https://open.spotify.com/track/3y9zMGuxWS8xkpOxNPfiMZ;guitar_stems/Silverchair_-_Miss_You_Love_(Official_Video).wav;72.0;D major
1hwJKpe0BPUsq6UUrwBWTw;Boulevard of Broken Dreams;Green Day;Boulevard of Broken Dreams;2004;261266;73;True;https://open.spotify.com/track/1hwJKpe0BPUsq6UUrwBWTw;guitar_stems/Green_Day_-_Boulevard_Of_Broken_Dreams_[Official_Music_Video]_[4K_Upgrade].wav;82.0;F minor
0815caqt2Lytro5EIzMufT;You And Me;Lifehouse;Lifehouse;2005-03-22;195493;75;False;https://open.spotify.com/track/0815caqt2Lytro5EIzMufT;guitar_stems/Lifehouse_-_You_And_Me_(Official_Music_Video).wav;94.0;E major
0XwjdpwvEwukcg3XU4Ibzt;Blaze Of Glory;Jon Bon Jovi;Cross Road;1994-10-18;340000;58;False;https://open.spotify.com/track/0XwjdpwvEwukcg3XU4Ibzt;guitar_stems/Jon_Bon_Jovi_-_Blaze_Of_Glory_(Official_Music_Video).wav;77.0;D major
0RsOUnm1wNpbXxZ8a4abOP;Amaranth;Nightwish;Dark Passion Play;2007-09-26;231444;62;False;https://open.spotify.com/track/0RsOUnm1wNpbXxZ8a4abOP;guitar_stems/NIGHTWISH_-_Amaranth_(OFFICIAL_MUSIC_VIDEO).wav;64.0;D minor
72hpTHMLFrO4ErhSQl2FhZ;Can't Stop Lovin' You;Van Halen;Balance;1995-01-24;247466;61;False;https://open.spotify.com/track/72hpTHMLFrO4ErhSQl2FhZ;guitar_stems/Van_Halen_-_Can't_Stop_Lovin'_You_(Official_Music_Video)_[HD].wav;59.0;A major
3hb2ScEVkGchcAQqrPLP0R;Photograph;Nickelback;All the Right Reasons;2005-09-26;258920;66;False;https://open.spotify.com/track/3hb2ScEVkGchcAQqrPLP0R;guitar_stems/Nickelback_-_Photograph_[OFFICIAL_VIDEO].wav;74.0;E major
087OBLtoeS3Q6j0k6tMNAI;Closing Time;Semisonic;Feeling Strangely Fine;1998-01-01;273533;0;False;https://open.spotify.com/track/087OBLtoeS3Q6j0k6tMNAI;guitar_stems/Semisonic_-_Closing_Time_(Official_Music_Video).wav;92.0;A minor
